time,data_dir,gpu,max_sequence_length,min_occ,embedding_size,rnn_type,epochs,hidden_size,word_dropout,embedding_dropout,latent_size,batch_size,bidirectional,learning_rate,coeff,x0,gamma,glove,att_latent,stop_annealing,save_model,samples,attr_size,discr_type,h1_size,h2_size,discr_drop,max_discr_weight,kl_weight,word_drop_type,delta,hs_rnn_discr,back,discr_warmup
2020-May-26-10:24:20,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1,50,False,20000
2020-May-28-06:59:14,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-10-19:39:52,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-10-19:41:09,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-10-19:41:43,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-10-19:44:05,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-11-03:51:54,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-11-04:01:08,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-11-12:03:47,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-11-12:07:44,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-11-12:08:52,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-11-13:53:49,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,7,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-11-14:03:21,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-11-14:07:47,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-20-00:03:33,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-21-12:56:12,data,0,20,2,300,gru,50,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,static,1,50,True,20000
2022-Apr-21-16:26:47,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,static,1,50,True,20000
2022-Apr-21-17:27:54,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-21-18:22:07,data,0,20,2,300,gru,50,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,static,1,50,False,20000
2022-Apr-22-17:27:28,data,0,20,2,300,gru,30,256,0.8,0.5,128,32,False,0.001,0.0025,3000,0.1,False,100,3300,True,200,2,fc,50,20,0,30,standard,static,1,50,False,20000
